Description	CCS Group	ICD9	CCS
Other disorders of bone and cartilage	Diagnostic physical therapy	73399	212
Stress fracture of tibia or fibula	Radioisotope bone scan	73393	207
Chondromalacia	Diagnostic physical therapy	73392	212
Arrest of bone development or growth	Diagnostic physical therapy	73391	212
Disorder of bone and cartilage, unspecified	Diagnostic physical therapy	73390	212
Stress fracture of femoral neck	Radioisotope bone scan	73396	207
Stress fracture of other bone	Radioisotope bone scan	73395	207
Stress fracture of the metatarsals	Radioisotope bone scan	73394	207
OTHER CONTROL GAST HEM (Begin 1989)	Diagnostic procedures, male genital	4449	116
Other specified causes of urethral stricture	Other OR therapeutic procedures on joints	5988	162
Urethral stricture, unspecified	Other OR therapeutic procedures on joints	5989	162
Personal history of other (corrected) congenital malformations	Other respiratory therapy	V1369	217
Postoperative urethral stricture	Other OR therapeutic procedures on joints	5982	162
Traumatic urethral stricture	Other OR therapeutic procedures on joints	5981	162
Other signs and symptoms in breast	Mastectomy	61179	167
Mastodynia	Mastectomy	61171	167
Lump or mass in breast	Mastectomy	61172	167
Diabetes with neurological manifestations, type II or unspecified type, uncontrolled	Extracorporeal circulation auxiliary to open	25062	050
Diabetes with neurological manifestations, type I [juvenile type], uncontrolled	Extracorporeal circulation auxiliary to open	25063	050
Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled	Extracorporeal circulation auxiliary to open	25060	050
Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled	Extracorporeal circulation auxiliary to open	25061	050
Optic neuritis, unspecified	Excision, lysis peritoneal adhesions	37730	090
Retrobulbar neuritis (acute)	Excision, lysis peritoneal adhesions	37732	090
Lichen nitidus	Magnetic resonance imaging	6971	198
INTRAVASC MSMNT COR ART (Begin 2008)	Other diagnostic procedures (interview, evalu	0059	227
IMPLA RESYNCHR PACEMAKER W/0 DEFIBRI (Begin 2002)	Forceps, vacuum, and breech delivery	0050	135
medicinal charcoal	Ungrouped	272	000
Exudative senile macular degeneration	Laparoscopy	36252	087
Screening for hypertension	Other screening for suspected conditions (not mental disorders or infectious disease)	V811	258
Screening for ischemic heart disease	Other screening for suspected conditions (not mental disorders or infectious disease)	V810	258
Screening for other and unspecified cardiovascular conditions	Other screening for suspected conditions (not mental disorders or infectious disease)	V812	258
Screening for nephropathy	Other screening for suspected conditions (not mental disorders or infectious disease)	V815	258
Screening for other and unspecified respiratory conditions	Other screening for suspected conditions (not mental disorders or infectious disease)	V814	258
Screening for other and unspecified genitourinary conditions	Other screening for suspected conditions (not mental disorders or infectious disease)	V816	258
Other specified temporomandibular joint disorders	Disorders of teeth and jaw	52469	136
Liver disorders in pregnancy, antepartum condition or complication	Myelogram	64673	181
Temporomandibular joint disorders, unspecified	Disorders of teeth and jaw	52460	136
Temporomandibular joint disorders, adhesions and ankylosis (bony or fibrous)	Disorders of teeth and jaw	52461	136
Temporomandibular joint disorders, arthralgia of temporomandibular joint	Disorders of teeth and jaw	52462	136
Temporomandibular joint disorders, articular disc disorder (reducing or non-reducing)	Disorders of teeth and jaw	52463	136
Temporomandibular joint sounds on opening and/or closing the jaw	Disorders of teeth and jaw	52464	136
Multiple sites of spinal cord injury without evidence of spinal bone injury	Other diagnostic procedures (interview, evalu	9528	227
Unspecified site of spinal cord injury without evidence of spinal bone injury	Other diagnostic procedures (interview, evalu	9529	227
sulfasalazine	Other diagnostic procedures (interview, evalu	9524	227
Calculus of gallbladder and bile duct with other cholecystitis, without mention of obstruction	Arthroscopy	57470	149
Calculus of gallbladder and bile duct with other cholecystitis, with obstruction	Arthroscopy	57471	149
ELECTRO-OCULOGRAM	Other diagnostic procedures (interview, evalu	9522	227
Central nervous system malformation in fetus, delivered, with or without mention of antepartum condition	Diagnostic ultrasound of urinary tract	65501	195
Central nervous system malformation in fetus, unspecified as to episode of care or not applicable	Diagnostic ultrasound of urinary tract	65500	195
Central nervous system malformation in fetus, antepartum condition or complication	Diagnostic ultrasound of urinary tract	65503	195
Special screening for osteoporosis	Other screening for suspected conditions (not mental disorders or infectious disease)	V8281	258
Phlebitis and thrombophlebitis of deep veins of lower extremities, other	Other OR therapeutic procedures, male genital	45119	118
Tobacco use disorder complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication	Myelogram	64903	181
Tobacco use disorder complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition	Myelogram	64901	181
Special screening for other specified conditions	Other screening for suspected conditions (not mental disorders or infectious disease)	V8289	258
Phlebitis and thrombophlebitis of femoral vein (deep) (superficial)	Other OR therapeutic procedures, male genital	45111	118
PARTIAL PATELLECTOMY	Cancer chemotherapy	7786	224
Extrinsic asthma with status asthmaticus	Diagnostic dilatation and curettage (D&C)	49301	128
Extrinsic asthma, unspecified	Diagnostic dilatation and curettage (D&C)	49300	128
Diastolic heart failure, unspecified	Indwelling catheter	42830	108
Acute diastolic heart failure	Indwelling catheter	42831	108
PART OSTECT-METACAR/CAR	Cancer chemotherapy	7784	224
Hodgkin's disease, nodular sclerosis, lymph nodes of axilla and upper limb	Diagnostic bronchoscopy and biopsy of bronchu	20154	037
Tympanosclerosis involving tympanic membrane, ear ossicles, and middle ear	Other bowel diagnostic procedures	38503	092
Tympanosclerosis involving tympanic membrane and ear ossicles	Other bowel diagnostic procedures	38502	092
Facial nerve disorder, unspecified	Other non-OR lower GI therapeutic procedures	3519	095
Other facial nerve disorders	Other non-OR lower GI therapeutic procedures	3518	095
OPN AORTIC VALVULOPLASTY	Other non-OR lower GI therapeutic procedures	3511	095
OPEN VALVULOPLASTY NOS	Other non-OR lower GI therapeutic procedures	3510	095
Other localized visual field defect	Exploratory laparotomy	36844	089
Generalized visual field contraction or constriction	Exploratory laparotomy	36845	089
Homonymous bilateral field defects	Exploratory laparotomy	36846	089
Heteronymous bilateral field defects	Exploratory laparotomy	36847	089
Visual field defect, unspecified	Exploratory laparotomy	36840	089
Unspecified vitamin D deficiency	Aortic resection, replacement or anastomosis	2689	052
Scotoma of blind spot area	Exploratory laparotomy	36842	089
Sector or arcuate visual field defects	Exploratory laparotomy	36843	089
Rickets, active	Aortic resection, replacement or anastomosis	2680	052
Rickets, late effect	Aortic resection, replacement or anastomosis	2681	052
Osteomalacia, unspecified	Aortic resection, replacement or anastomosis	2682	052
Osteoarthrosis, localized, not specified whether primary or secondary, other specified sites	Electrographic cardiac monitoring	71538	203
vecuronium	Electrographic cardiac monitoring	71535	203
Osteoarthrosis, localized, not specified whether primary or secondary, hand	Electrographic cardiac monitoring	71534	203
Osteoarthrosis, localized, not specified whether primary or secondary, ankle and foot	Electrographic cardiac monitoring	71537	203
Osteoarthrosis, localized, not specified whether primary or secondary, lower leg	Electrographic cardiac monitoring	71536	203
Osteoarthrosis, localized, not specified whether primary or secondary, shoulder region	Electrographic cardiac monitoring	71531	203
Osteoarthrosis, localized, not specified whether primary or secondary, site unspecified	Electrographic cardiac monitoring	71530	203
Pathological dislocation of joint, shoulder region	Swan-Ganz catheterization for monitoring	71821	204
Osteoarthrosis, localized, not specified whether primary or secondary, upper arm	Electrographic cardiac monitoring	71532	203
Labyrinthine fistula, unspecified	Other non-OR upper GI therapeutic procedures	38640	093
Round window fistula	Other non-OR upper GI therapeutic procedures	38641	093
Oval window fistula	Other non-OR upper GI therapeutic procedures	38642	093
Semicircular canal fistula	Other non-OR upper GI therapeutic procedures	38643	093
Sedative, hypnotic or anxiolytic dependence, unspecified	Plastic procedures on nose	30410	028
Post-term infant	Cancer chemotherapy	76621	224
Twin birth, mate liveborn, born in hospital, delivered by cesarean section	Psychological and psychiatric evaluation and	V3101	218
Twin birth, mate liveborn, born in hospital, delivered without mention of cesarean section	Psychological and psychiatric evaluation and	V3100	218
Image test inconclusive due to excess body fat	Hemodialysis	79391	058
Other nonspecific (abnormal) findings on radiological and other examinations of body structure	Residual codes; unclassified	79399	259
Letterer-siwe disease, unspecified site, extranodal and solid organ sites	Other diagnostic procedures on musculoskeleta	20250	159
Other respiratory complications	Complications of surgical procedures or medical care	99739	238
Other specified aftercare	Other aftercare	V5889	257
Arterial embolism and thrombosis of lower extremity	Diagnostic procedures, male genital	44422	116
Arterial embolism and thrombosis of upper extremity	Diagnostic procedures, male genital	44421	116
Fitting and adjustment of vascular catheter	Other aftercare	V5881	257
Fitting and adjustment of nonvascular catheter, NEC	Rehabilitation care; fitting of prostheses; and adjustment of devices	V5882	254
Encounter for therapeutic drug monitoring	Other aftercare	V5883	257
RADIAL KERATOTOMY (Begin 1989)	Other therapeutic procedures on eyelids, conj	1175	019
KERATOPROSTHESIS	Other therapeutic procedures on eyelids, conj	1173	019
CORNEA RECONSTRUCT NEC	Other therapeutic procedures on eyelids, conj	1179	019
Infection by dematiacious fungi [Phaehyphomycosis]	Diagnostic spinal tap	1178	004
Impulse control disorder, unspecified	Partial excision bone	31230	142
Pathological gambling	Diagnostic procedures on nose, mouth and phar	31231	031
Other disorders of impulse control	Other OR therapeutic procedures on nose, mout	31239	033
Tenosynovitis of foot and ankle	Therapeutic radiology	72706	211
Other tenosynovitis of hand and wrist	Therapeutic radiology	72705	211
Radial styloid tenosynovitis	Therapeutic radiology	72704	211
Trigger finger (acquired)	Therapeutic radiology	72703	211
Giant cell tumor of tendon sheath	Therapeutic radiology	72702	211
Synovitis and tenosynovitis, unspecified	Therapeutic radiology	72700	211
Other nonspecific positive culture findings	Laminectomy, excision intervertebral disc	79539	003
Other synovitis and tenosynovitis	Therapeutic radiology	72709	211
Other problems associated with amniotic cavity and membranes, antepartum	Arterio- or venogram (not heart and head)	65883	191
